Indus ID,SITE Name,TCU,MCU,Total Nos. GSM,Total Nos.M/w
IN-1260427,BOISAR RAILWAY STATION,No,Yes,9,6
IN-1055465,KABNOOR_ODU,No,No,17,2
IN-1091981,Guruwar Peth,No,No,12,7
IN-1053752,DEULGHAT_ODU,No,No,17,8
IN-1066327,KHALAD_ODF,Yes,Yes,16,8
IN-1092156,Nandurga,No,No,15,4
IN-1253781,Korangala,No,No,13,2
IN-1054089,GHULEVASTI_ODU,No,Yes,16,5
IN-1023987,MANSARPHATA,Yes,No,20,11
IN-1384256,Shivane,No,No,3,1
IN-1339909,Hanuman Nagar,No,No,13,3
IN-1365852,Aurangabad_05488_Tanaji Nagar,No,No,8,1
IN-1599359,Rajur,No,No,3,1
IN-1740288,DHEU,No,No,3,1
IN-1355202,Relocation of ROM3737Relocation of ROM3737,No,No,10,1
IN-1124432,EDAULATABAD,No,No,9,2
IN-1086191,BADUR_ODF,No,No,12,8
IN-1025404,BHIGWAN ROAD,No,No,7,3
IN-1276648,Mansarovar Bhiwandi,No,No,7,4
IN-1245124,KULDABAD,Yes,No,18,5
IN-1093160,Ravidas Shyamrao Waghmare Plot ,No,No,15,8
IN-1086211,GHODAJ_ODF,No,No,6,1
IN-1093186,MR.PANDURANG B. DHEMBRE Plot ,No,No,12,3
IN-1254206,KANKAVALI,No,Yes,16,7
IN-1266706,KUDAL-PINGULE,No,No,13,3
IN-1093504,MR.YASHWANTH DADHAL PLOT ,No,No,12,4
IN-1053688,MUMHWKASARA_IDU,No,No,16,11
IN-1255778,Chinchoti,No,No,18,5
IN-1281529,Relocation of Devdhi_USO,No,No,16,6
IN-1106056,0,No,No,17,8
IN-1232435,6106,No,No,20,3
IN-1091919,PDCC3,No,No,13,3
IN-1066489,PALASHI_ODU,No,No,6,3
IN-1312932,Igatpuri Station,No,No,3,2
IN-1381429,Ashwashakti Parking Yard,No,No,3,1
IN-1326067,Sarswatinagar indapur,No,No,5,2
IN-1233309,TAWARE-COMPOUND,No,Yes,9,1
IN-1093496,Mr.Nitin M Sapka Plot ,No,No,15,7
IN-1105681,Asegaon Bajar,No,No,14,10
IN-1093159,MR. DEEPAK S. BONDRE PLOT ,No,No,19,12
IN-1280520,Manish Nagar(off Hotel Pride),No,No,6,2
IN-1372804,SardarNagar_BSC152_A,No,No,3,1
IN-1388851,GOV DENTAL COLLEGE,No,No,3,1
IN-1354684,Theur Phata,No,No,6,1
IN-1351975,Katraj Dairy,No,No,3,1
IN-1300467,Site693,No,No,6,3
IN-1388702,Murud,No,No,3,1
IN-1326721,Bhokramba,No,No,16,2
IN-1078378,Ranjani,No,Yes,18,10
IN-1093920,SINDHGAON,No,No,25,8
IN-3002831,Borawade,No,No,3,1
IN-1352370,Relocation of 2744,Yes,No,6,1
IN-3001738,Wadmukhwadi Alandi,No,No,3,1
IN-1243439,RAVI,No,Yes,18,6
IN-1066396,MANAPWASTI,No,No,15,5
IN-1270077,Vishwkarma society,No,Yes*2,20,8
IN-1070039,TEMBURNI,No,No,14,11
IN-1093168,MR.SHANKARRAO MADHAVRAO THANEKAR PLOT ,Yes,No,6,1
IN-1372445,Malegaon Budruk,No,No,3,1
IN-1384236,Swami Samarth Nagar,No,No,3,1
IN-1336140,Ahmednagar Rly Station,No,No,6,1
IN-1363811,Gulshanabad,No,No,3,1
IN-1374231,Azaad Nagar Main Rd,No,No,4,1
IN-1374237,Laxmi colonyLatur,No,No,6,2
IN-1382431,Natraj nagar gorewada,No,No,5,1
IN-1331633,Relocation MH3571,No,No,4,1
IN-1024665,RESHMIBAUG,No,No,12,5
IN-1107337,Khardigaon,No,Yes,9,5
IN-1117732,Bhosale Nagar,No,No,13,4
IN-1351109,Relocation of MH6300,No,No,6,2
IN-1382252,Dhaniv Baug,No,No,3,1
IN-1372851,Wakanpada,No,No,6,1
IN-1285380,Varkhede road_ Dhule,No,No,13,1
IN-1124822,Gadikar Bhawan,No,No,9,6
IN-1053782,Devlapar gumgaon,No,Yes,6,3
IN-1066280,Jalalkheda,No,No,12,7
IN-1352378,Relocation of 3652,No,No,6,1
IN-1352417,Relocation of MH3069,No,No,7,2
IN-1052378,ANDHALGAON_ODU,Yes,Yes,18,10
IN-1250616,GHODESHWAR ,No,No,11,1
IN-1053101,VAMBORIGBT_IDU,Yes,No,9,3
IN-1054012,EPUNMTRASHOKVJ_ODM,No,No,11,7
IN-1054907,DIPIKAHSGSOC_IDU,No,No,8,5
IN-1054149,RASTAPTH_ODU,No,No,5,2
IN-1743196,Kadam Path ,No,No,3,1
IN-1052611,JALALPUR_ODU,No,No,15,7
IN-1052483,CHILVADI_ODU,No,Yes,22,4
IN-1236513,WAR KHED,No,No,15,4
IN-3004180,Mehtre  Nagar,No,No,4,1
IN-1352630,Pangri,No,No,6,1
IN-1085593,SRPF (PUNJGTPCHK2S),No,No,6,2
IN-1258651,Sidhatek,No,Yes,10,3
IN-1093432,Mr.Ramchandra Dyandev Parshuram Jagdale Plot ,No,No,16,8
IN-1260488,Takali (Rashin),No,No,15,3
IN-1092190,RAJURI_RPTR,No,No,19,11
IN-1315195,Clariant Chemical,No,No,9,4
IN-1303771,Relocation of Katol Railway Station (KTOL07),No,No,12,2
IN-1357665,Kalmeshwar Bus stop,No,No,8,2
IN-1365871,Ambenath  Chakan,No,No,6,1
IN-1388316,Shreedhar park,No,No,3,1
IN-1977526,Bhose,Yes,No,3,1
IN-1260498,Dwarka Nagari,No,Yes,19,11
IN-1382942,Dnyaneshwar Nagar,No,No,6,1
IN-1383525,Dnyaneshwar Nagar,No,No,3,1
IN-1382884,Rajaswa Nagar,No,No,3,1
IN-1269058,Salgar Vasti Solapur,No,No,7,2
IN-1053096,NVADELGBT_IDU,No,No,11,4
IN-1250107,NIDHONA,No,No,20,5
IN-1301530,Ulkanagri2,Yes,No,9,2
IN-1055332,Ulsradha_Odu,No,No,9,3
IN-1366805,Nirav Residency,No,No,5,1
IN-1091755,Loni kh,No,No,25,6
IN-1108019,0,No,No,13,7
IN-1052610,NITKURGBT_ODU,Yes,No,6,6
IN-1352570,Relocation MG3132,No,No,7,2
IN-1326480,Relocation of Pargaon (PAGN01),No,No,15,6
IN-1385580,QureshiWada_4G,No,No,3,1
IN-1249040,AJANTA CHOWK,No,No,12,4
IN-1385596,Besa nagpur,No,No,3,1
IN-1054562,EKHEDWALKEBD_ODU,No,Yes,16,13
IN-1263256,EPUNBSRIMIDC,No,Yes,13,2
IN-1349973,Nanekarwadi,No,No,6,1
IN-1355218,Wasuli,No,No,5,1
IN-1536381,Vidhy Dham Colony,No,No,6,1
IN-1053038,DHANORARPTR_ODU,No,No,21,14
IN-1117097,Sindhi,No,No,24,12
IN-1389009,JAYANTI NAGARI,No,No,3,1
IN-1367073,Nirmaan serrene,No,No,6,1
IN-1388304,Mohammed Wadi,No,No,3,1
IN-1106038,MAHALPATNE,No,No,21,8
IN-1071082,AGHARBK_ODU,No,No,6,2
IN-1241187,MAMNA DEVI CHK,Yes,Yes*2,13,5
IN-1236287,ShakarDhara,No,No,17,2
IN-1055033,EPUNMOHAMMAD,No,No,3,2
IN-1365853,Kingstore Aura Hadapsar-Handewadi Road,No,No,4,1
IN-1092264,Kavhe,Yes,No,12,5
IN-1250671,Khadkat,Yes,Yes,6,12
IN-1052952,ROPALEKAHVE_ODU,No,No,15,8
IN-1053859,NMTRKARMALA_ODM,Yes,Yes,18,8
IN-1382777,Jambhe,No,No,6,1
IN-1382715,Savitri Garden,No,No,3,1
IN-1375720,Shree Krishna Nagar,No,No,3,1
IN-1498643,Barkat Nagar,No,No,3,1
IN-1302982,parli relocation,No,No,6,1
IN-1499034,Pathanpura,No,No,3,1
IN-1124812,ENPRMOHANNGR,Yes,No,8,4
IN-1100823,GOURAVPALACE_ODU,No,No,5,2
IN-1124753,ENPRMOMINPR2,Yes,No,8,5
IN-1073160,CENTRALAVENUE_IDU,Yes,No,6,9
IN-1285271,Octrao Post no 11 B Dabha Naka,No,No,11,5
IN-1294801,EPUNBHOSRITBLK,No,No,3,1
IN-1388146,Shastri Nagar,No,No,6,2
IN-1387624,Yashwant Nagar,No,No,4,2
IN-1377843,Raigad,No,No,3,1
IN-1279248,EFORSEASNNOW,No,No,3,1
IN-1351164,SERLITETECH LTD,No,No,6,1
IN-1541243,Vrindavan Garden,No,No,3,1
IN-1387605,AWHO Enclave,No,No,3,1
IN-1338063,RelocationMH4968,No,No,15,2
IN-1352502,Byramji Town,No,No,3,1
IN-1124511,ENPRJARIPATKA,Yes,No,14,10
IN-1124500,ENPRBYRAMJITOW,No,Yes,6,9
IN-1374998,Dahanu,No,No,3,1
IN-1326951,Teachers Colony,No,No,13,3
IN-1092263,Dhanegaon,No,Yes,13,6
IN-1024980,PETWADGAON,Yes,No,13,7
IN-1730717,Shukla Compound Rd,No,No,4,1
IN-1301322,Site975,No,No,7,3
IN-1297544,Shajapur_Walujh2,No,No,19,3
IN-1309049,Indranagar (Mansoor colony),Yes,No,16,3
IN-1093239,MR. RAVIKANT NARSING PATIL PLOT ,No,No,6,3
IN-1329919,Mirza Nagar,No,No,7,2
IN-1391261,Gulshanabad,No,No,6,2
IN-1374283,Akkhada Masjid,No,No,4,1
IN-1374214,Murtuza Bagh,No,No,5,1
IN-1066304,KARADKHED_ODU,No,Yes,15,9
IN-1086227,KHEDGBT_ODU,Yes,No,6,4
IN-1275981,Gaudi Gali Geeta Nagar,Yes,No,13,1
IN-1054771,WADALAROAD_ODU,No,Yes,6,4
IN-1241719,"SURALI		",No,No,21,5
IN-1248975,MEHKAR,No,Yes,17,6
IN-1052782,Nmtralibaug2_Odm,Yes*2,Yes*3,17,15
IN-1052368,NALIBAUG3_ODU,No,No,16,4
IN-1387104,Kate Wasti,No,No,6,2
IN-1373658,Theur Kesnand,No,No,6,1
IN-1382713,Kakasaheb,No,No,4,1
IN-1281745,Hira Court Lake Area,No,No,16,3
IN-1253385,Borol,No,No,12,4
IN-1124769,EWARNANGR,No,Yes,8,6
IN-1124633,ESLPRAMSHTIN,No,No,8,1
IN-1055542,MTRPETHVDGN_ODM,Yes,Yes,12,7
IN-1054451,GANGAPUR_IDU,Yes,No,14,5
IN-1024643,CIDCO,No,No,15,10
IN-1285085,near itwari station,No,Yes,14,2
IN-1286032,Damat,No,No,10,3
IN-1270088,Digras,No,No,9,3
IN-1292264,Damaninagar,No,No,9,3
IN-1054718,COLLEGEROAD_IDU,No,No,9,13
IN-1092438,Kumbhari Road 1 - MIDC,No,No,12,6
IN-1382517,Dhantoli,No,No,3,1
IN-1376489,Motha Tajbagh Dargah,No,No,4,1
IN-1071195,BHUGAON_ODU,No,Yes,14,6
IN-1351288,Kharabi,No,No,6,2
IN-1342291,FL09724,No,No,6,1
IN-1387716,Ita Bhatti Rd,No,No,6,1
IN-1365297,Shiye-bawada road,No,No,6,1
IN-1541541,Baramatirdindapur_BSC158MLG_4G,No,No,4,1
IN-1382700,Pioli River,No,No,4,1
IN-1384553,Manewada,No,No,4,1
IN-1354290,Ranjangaon MIDC RTT,No,No,8,1
IN-1373472,Paratwada,No,No,6,1
IN-1112831,Chinchwad Link Road,No,Yes,13,4
IN-1315904,Relocation Main pimpri Bazar,No,No,3,2
IN-1377760,Relocation of NAL3734,No,No,3,1
IN-1286122,MANGALA  APPARTMENT,No,No,7,4
IN-1382426,Dushale Shivar,No,No,3,1
IN-1254027,Uran Islampur,No,No,14,2
IN-1285503,Near Datta Tekadi,No,No,8,2
IN-1274398,ISLAMPUR KRISHNA NAGAR,No,No,12,3
IN-1380240,bhagwati nagar,No,No,4,1
IN-1382427,Datta Nagar2,No,No,3,1
IN-1383020,Surya Nagari,No,No,3,1
IN-1383021,Satav Chowk,No,No,3,1
IN-1383027,Malegaon Kh,No,No,3,1
IN-1383023,Hingane Wasti,No,No,3,1
IN-1529753,Shivanagar_BSC179ESP_4G,No,No,10,2
IN-1382910,Aarati Nagar,No,No,3,1
IN-1377802,Beed_BSC133_A,No,No,3,1
IN-1368636,Kalamnuri 2,No,No,6,1
IN-1490449,Dahigaon Gawande,No,No,3,1
IN-1388662,Shivani,No,No,3,1
IN-1382475,Dighori Nagpur,No,No,4,1
IN-1745797,Prasanna Bhendarkar,No,No,4,1
IN-1386904,Vayusena Nagar,No,No,4,1
IN-1382514,Kharab Rd Nagpur,No,No,3,1
IN-1382681,Mahatma Phule Naga,No,No,3,1
IN-1250306,ETULAPUR,No,No,16,3
IN-1365295,Dattanagar,No,No,5,1
IN-1335729,Borude Mala,No,No,7,1
IN-1308102,G_Shopee Relocation,Yes,No,6,2
IN-1303733,Satana,No,Yes,6,1
IN-1311614,Ansar Nagar,No,No,16,4
IN-1384262,Pathardi Phata,No,No,6,1
IN-1348221,Nawale Nagar,No,No,6,1
IN-1326757,Relocation 770,No,Yes,9,7
IN-1339741,Krantiveer Colony,No,No,10,2
IN-1098500,Surul,No,No,16,5
IN-1092189,Sawera Nagar (Vijapur Rd),No,No,12,3
IN-1132839,HOSUR,No,No,15,4
IN-1054269,EAHMRTELIKUNT_IDU,No,No,9,5
IN-1054253,EAHMRASHKHTL_ODU,No,Yes,3,4
IN-1262907,BHINGER,No,No,16,2
IN-1025060,CHELIPURA,No,No,9,3
IN-1025067,TARODA_NAKA,No,No,18,8
IN-1271593,Parwana Nagar,Yes,No,11,3
IN-1273057,Naya Islampura,No,No,12,5
IN-1374291,BOHRA LANE,No,No,3,1
IN-1373079,Mahatma Phule,No,No,3,1
IN-1388322,Shirur,No,No,3,1
IN-1052242,EGANGANAGAR_IDU,Yes,No,8,17
IN-1379455,Prajakata Pride,No,No,4,1
IN-1311665,Quereshi Mohalla,No,No,8,3
IN-1092097,Ganesh Nagar,No,Yes,7,6
IN-1078265,Hiraj,No,No,12,7
IN-1094668,Lamboti (NH-9 HW),Yes,No,13,3
IN-1054240,SHRESAICMPLX_ODU,No,Yes,12,5
IN-1054050,TRIMURTYCHOWK_IDU,No,Yes,16,9
IN-1093070,Mr.Vijaykumar Vishawanath Sukane Building ,No,No,7,1
IN-1053663,ZUARINAGAR_IDU,Yes,Yes,26,21
IN-1054465,GOA_AIRPORT_IDU,No,No,22,12
IN-1054249,YCSCHOOL_ODU,No,No,14,4
IN-1382865,SHIVSHAHI BUS STOP,No,No,5,1
IN-1388699,Solapur,No,No,4,1
IN-1388693,Mantri Nagar,No,No,3,1
IN-1380307,Sillod,No,No,3,1
IN-1374967,Cross Road ,No,No,6,1
IN-1282952,Moje Engineering  college,No,No,9,4
IN-1342183,Ansar Nagar,No,No,9,2
IN-1272815,Line Bazzar,No,No,20,2
IN-1391262,Kawade Nagar,No,No,3,1
IN-1250444,KHANDALI,No,No,9,9
IN-1054797,EPBRCIVILHSP_ODU,No,No,17,6
IN-1054795,PBRAKSHAY_ODU,No,No,13,2
IN-1054090,GURUWARPETH_IDU,No,No,8,6
IN-1054171,SWARGTE2_IDU,No,No,6,2
IN-1054850,EPUNBALAJICM_ODU,No,No,14,3
IN-1054857,BHAIRAVHTS_IDU,No,No,10,3
IN-1294550,Jaiswal,No,No,10,3
IN-1124499,ENPRMANKAPUR,No,No,12,4
IN-1361936,Parbhani_05349_Railway station parbhani,No,No,7,1
IN-1270716,Moshi Chikahli Road,No,No,11,9
IN-1303906,Moshi Phata - Chhikhali,No,Yes,12,3
IN-1249472,WAR,No,No,11,5
IN-1025403,KATENAGAR,No,No,12,14
IN-1517609,Relocation of MA5521,No,No,3,1
IN-1374281,Sai Rd,No,No,3,1
IN-1338295,Woods villa,No,No,9,3
IN-1883049,Wadwal,No,No,3,1
IN-1365706,Bharkat Scrap Merchant,No,No,6,1
IN-1374247,Walwadi,No,No,4,1
IN-1375745,Pimpalgaon Baswant,No,No,3,1
IN-1385594,Vijay Nagar,No,No,5,1
IN-1382771,Makhmalabad,No,No,3,1
IN-1498712,Darewadi,No,No,3,1
IN-1350108,Ashwini colony,No,No,7,1
IN-1256530,Nasheman Hall,No,No,12,4
IN-1066282,JAMBUD_ODU,No,No,24,7
IN-1054460,CDBLUECHIP_IDU,No,Yes,13,11
IN-1285054,NEAR SHRINATH VIDHYALAYA,No,No,8,1
IN-1333229,Ambad-MIDC,No,No,6,1
IN-1418888,Varche Chunchale St,No,No,3,1
IN-1380252,Shirasgaon,No,No,6,1
IN-1073155,NAVJIWAN_ODU,No,No,8,1
IN-1371832,Nagpur_07050_Sidharth Nagar,No,No,6,2
IN-1387720,Kalmana,No,No,6,1
IN-1323812,Bharatwada,No,No,10,2
IN-1382472,Nepti Suburban,No,No,3,1
IN-1745338,Binaki Nagpur,No,No,6,1
IN-1389058,Bhutkarwadi,No,No,3,1
IN-1382935,Satara Parisar,No,No,3,1
IN-1054476,EGOAMARGAON_ODM,No,No,17,7
IN-1054884,CHIKLI_ODU,No,Yes,6,7
IN-1137485,KT NAGAR,No,Yes,16,18
IN-1093537,MR.RSHIKESH SHRIKANT BHAGVAT PLOT ,No,No,15,5
IN-1124779,ENPRKORADIRD,No,No,9,13
IN-1053919,NMTRPATHRIGBT_ODU,Yes,Yes,29,26
IN-1025200,PRASHANT NAGAR,No,No,16,5
IN-1310228,BORATE WASTI,Yes,No,19,5
IN-1124565,ENPRSHANTINGR,Yes,No,3,6
IN-1054655,SANGOLDARD_IDU,No,No,18,2
IN-1362080,Ashok Meadows,No,No,3,1
IN-1069268,Girigaon ,No,No,15,7
IN-1025133,SHIRURANANDPAL,No,No,20,10
IN-1053073,TULSHI_ODU,No,No,18,7
IN-1071125,ANJNGNUMATE_ODU,No,No,6,7
IN-1370449,Shahupuri,No,No,5,1
IN-1078267,Darphal Gawadi,No,No,12,6
IN-1253103,Bavi(osmanabad),Yes,No,13,1
IN-1340079,Gothawade phata,No,No,9,2
IN-1055183,SUSHAMAL SADAN_ODU,No,No,13,7
IN-1379525,Kolhapur-7,No,No,3,1
IN-1353571,Nagapur Fillin 2-Ahmadnagar_05812,No,No,6,3
IN-1354204,Goa Secretariat,No,No,10,4
IN-1308692,Site1465,No,No,9,3
IN-1339418,Relocation MG6488,No,No,8,3
IN-1366178,Shivaji Peth A Ward C,No,No,3,1
IN-1382725,Jagtap Rd Rasta Peth,No,No,3,1
IN-1301547,Site528,No,No,10,2
IN-1314152,Dariyapur,No,No,9,3
IN-1373630,Mumbai - Agra National Hwy,No,No,6,1
IN-1388742,Soygaon,No,No,6,2
IN-1372802,Maldhe,No,No,3,1
IN-1360273,HiranagarRoad_BSC27_A,No,No,7,1
IN-1350003,Shrinagar Colony,No,No,12,2
IN-1377816,Kausadi ,No,No,3,1
IN-1054251,EAHMKOHNURAR_ODU,No,No,9,2
IN-1239019,Nirmal Nagar FI,Yes,No,11,3
IN-1426243,MarketYard_BSC195AMN_4G,No,No,3,1
IN-1382835,Survey Nagar KALAMBE TURF THANE,No,No,3,1
IN-1382994,Digambar Housing Society,No,No,3,1
IN-1345251,Katai,No,No,6,1
IN-1365380,Sai Colony Tumsar,No,No,9,2
IN-1382846,MohanNagar_BSC186BSL_A,No,No,3,1
IN-1386701,Kuske,No,No,3,1
IN-1344765,VIDUSHI WIRES PVT. LTD.,No,No,3,1
IN-1053917,EPARANDA,No,Yes*3,10,10
IN-1377884,Babar Colony,No,No,3,1
IN-1354274,Satara Khor,No,No,6,1
IN-1236492,APSINGA,No,No,14,4
IN-1382668,KWAJA NAGAR,No,No,3,1
IN-1054526,RAMANANDCOLONY_ODU,No,Yes,7,11
IN-1383552,Rupee Housing Society,No,No,3,1
IN-1093390,MR.VASUDEO DASARATH WANKHADE PLOT ,No,Yes,14,3
IN-1055530,JINTURTT_ODM,No,No,16,5
IN-1279167,Nagapur Fillin 2,No,No,18,4
IN-1092283,UPALAI KH,No,No,19,6
IN-1055057,NIGDI_IDU,No,No,10,9
IN-1055189,EPUNRUPINAGAR_ODU,No,Yes,11,14
IN-1092328,Rupeenagar F.I,Yes,No,16,5
IN-1054926,GANESHPETH_ODU,No,No,13,2
IN-1073198,MTRNANAPETH_ODM,No,Yes,10,3
IN-1055633,TRIMBRISHI_ODM,No,No,18,4
IN-1066701,YEROL_ODU,No,No,15,8
IN-1092026,UJALAMB,No,No,6,3
IN-1024894,KRANTINGR,Yes,No,16,12
IN-1054530,NAVIPETH_ODU,No,No,7,6
IN-1294800,Padmaji park,No,No,7,5
IN-1024736,BHAWANIPETH,No,No,9,5
IN-1353667,Shree Vankteshwara Scales,No,No,6,1
IN-3001785,Not available,No,No,0,0
IN-1363054,Latur_07064_Avanti Nagar,No,No,6,1
IN-1362202,Pragati Nagar,No,No,4,2
IN-1248987,Latur Midc,Yes,No,9,7
IN-1380625,Pochamma Galli,No,No,6,1
IN-1344831,Pinate Nagar,No,No,6,1
IN-1055285,SHIVAJI_RD_ODU,No,No,7,2
IN-1379456,Anandikrupa,No,No,6,2
IN-1092082,SONAWATI,No,No,19,5
IN-1292253,Fortune Mirador,No,No,12,5
IN-1093556,MR.AMOL WAGH  ,No,Yes,17,8
IN-1053397,KATERKHATAV_ODU,No,Yes,6,6
IN-1024742,LAUKIK,No,No,13,5
IN-1066507,PARGNTARFALE_IDF,No,No,6,4
IN-1580831,jayanti Nagar-3,No,No,3,1
IN-1354675,Samadhan Lawns,No ,No,6,1
IN-1385845,Jyotiba Nagar,No,No,6,1
IN-1382943,NewShanti Nagar,No,No,3,1
IN-1582862,Not available,No,No,3,1
IN-1382933,Uddhav Nagar,No,No,3,1
IN-1377795,Hadgaon,No,No,3,1
IN-1390988,Rukhmini Nagar,No,No,3,1
IN-1338312,Relocation 5583,No,No,6,2
IN-1054550,KALPANANIWAS_ODU,Yes,No,6,5
IN-1370451,Paijar,No,No,6,1
IN-1324589,Relocation 4763,No,No,3,1
IN-1385590,Nadi Ves,No,No,3,1
IN-1377806,Ardhapur,No,No,3,1
IN-1345665,janai-college-road_Parbhani_01052,No,No,6,1
IN-1388385,Dhaniv Baug,No,No,3,1
IN-1371013,Bhagatsingh Ward No 16,No,No,5,2
IN-1388695,Manwath,No,No,3,1
IN-1499262,Yogesh war colony,No,No,3,1
IN-1379509,Sai Shradhha Nagar,No,No,3,1
IN-1363588,Ambedkar Nagar-Selu,No,No,3,1
IN-1301531,Site284,No,No,11,3
IN-1301608,Site283,No,No,5,1
IN-1054686,NDGOLDMONDHA_IDU,No,Yes,10,2
IN-1053373,JAFRABADGBT_ODU,No,No,7,5
IN-1275812,GULMOHAR,No,No,20,3
IN-1980411,Sonar Galli,No,No,3,1
IN-1055308,TALEGONDAB_IDU,No,No,20,13
IN-1054421,DATKRUPAAPT_IDU,No,Yes,9,11
IN-1237376,NARAYANGAON,No,No,13,3
IN-1053544,NNIMBAITGBT_IDU,Yes,Yes,18,7
IN-1280559,Mangeshkar Nagar,No,No,9,2
IN-1254055,HATNI,Yes,No,9,1
IN-1101881,MULAJ,Yes,No,9,8
IN-1231125,NSAWARGNGBT1,No,No,18,11
IN-1278288,MANMAD Munot,No,No,16,2
IN-1126866,Marketyard,Yes,No,10,7
IN-1262987,Pachora,No,No,9,1
IN-1092100,Alephata,No,Yes,7,9
IN-1277972,Junnar Midc,No,No,10,7
IN-1091720,Hanuman Nagar,No,No,16,3
IN-1124778,ENPRKUCHWABD,Yes,Yes,13,11
IN-1025391,DALAVINAGAR,Yes,No,20,9
IN-1295158,GENESISPLOT,No,No,15,7
IN-1054473,MAGNUMRESORTS_IDU,No,Yes,19,11
IN-1054899,DECCANMAL_ODU,No,No,6,2
IN-1024737,DECCAN,No,Yes,10,3
IN-1286126,JAKHANGNSAT_INDS,No,No,9,5
IN-1054585,RAJARAMPURI_IDU,No,No,13,12
IN-1052914,PIMPALWANDI_ODU,No,No,18,8
IN-1024942,SAVNER,Yes,Yes,18,14
IN-1124562,ENPRSADAR,No,No,6,14
IN-1055075,EPUNPARVATI_ODU,No,No,11,6
IN-1279991,ERISHIRAJ,No,No,9,1
IN-1380305,Mukhed,No,No,3,1
IN-1242313,"SHANTINIKETAN		",No,No,7,8
IN-1373681,Kahan Nagar Society,No,No,6,1
IN-1373692,Saraf Bazar,No,No,6,1
IN-1745337,Iwale Mala Saras Nagar,No,No,3,1
IN-1499583,Nalegaon,No,No,3,1
IN-1382254,Hanuman Nagar,No,No,3,1
IN-1571443,Waghmare Mohalla,No ,No,3,1
IN-1375741,Capacity7Jan_17_Karla Rd,No,No,10,1
IN-1349635,Thatte ground,No ,No,9,2
IN-1262908,ESONAISIVAJI,No,No,12,1
IN-1066628,NTAKLIBHAN,Yes,No,19,4
IN-1397958,Sudke Mala,No,No,3,1
IN-1365709,Mukhed,Yes,No,6,2
IN-1585405,Mukhed,No,No,3,1
IN-1365175,Ahmed Nagar,No,No,12,2
IN-1374217,Golden Nagar,No,No,6,1
IN-1370940,Muthe ln,No,No,3,1
IN-1311564,PANCHVATI_idu relocation,No,No,6,2
IN-1388318, Bhugaon,No,No,3,1
IN-1326669,DEOLGAON RAJA  ,No,No,10,2
IN-1053988,DOLLYCORNER_ODM,No,No,15,8
IN-1346214,Pardrabodi Area,No,No,10,3
IN-1343656,Relocation 4065,No,Yes,10,16
IN-1370277,Geeta Society,No,No,6,1
IN-1520140,JANAI BLD,No,No,6,1
IN-1365872,Gulve Vasahat,No,No,4,1
IN-1072996, GANGAVESH_ODU,No,No,21,5
IN-1250752,Gangavesh(KOLP27) Relocation,No,No,20,4
IN-1054580,MKCHAMBER_IDU,Yes,No,20,6
IN-1055144,SHITOLE_ODU,No,Yes,3,1
IN-1073210,NRYANPNSARE_IDU,No,Yes,15,7
IN-1813888,Umiya Society,No,No,4,1
IN-1352025,Khivansara Trade Center-Pune_00556,No,No,6,1
IN-1352689,Amrutdham_BSC194_A,No,No,6,1
IN-1054469,HOTELLONDON_IDU,No,Yes,13,17
IN-1053838,MANTHA_ODU,No,No,14,12
IN-1025388,PCNTDA BHOSARI,No,No,15,5
IN-1024818,KABHNOOR,No,No,8,6
IN-1237080,Vardhaman,Yes,No,8,1
IN-1257033,Kabnur,No,Yes,15,11
IN-1025236,INDUSTRIAL COLONY,No,Yes,12,5
IN-1054816,PLTLAXMINATH_IDU,Yes,Yes,15,14
IN-1112584,ANANDVAN,No,No,21,7
IN-1094718,Thergaon Belthikanagar,No,No,10,2
IN-1055523,CHIKHALIGBT_ODM,No,No,13,3
IN-1024548,SINDHKHEDRAJA ,No,No,13,9
IN-1054175,TILAKROAD_IDU,No,No,5,9
IN-1055112,SADASHIVPETH_IDU,No,No,17,12
IN-1270689,Alandi-Kale colony,Yes,No,19,7
IN-1342340,FL09804,No,No,6,1
IN-1326763,Alandi Markel Road,No,Yes,12,5
IN-1326772,Ghundare Patil Nagar_Alandi,No,No,12,2
IN-1337419,Alandi_Vadgaon Rd,No,No,10,2
IN-1374491,Professor Colony Islampur,No,No,9,2
IN-1349680,Datta-nagar,No,No,6,1
IN-1354959,THQ BULDHANA 1,No,No,3,1
IN-1383483,Shukrawar Peth,No,No,3,1
IN-1367108,Rajendra Nagar,No,No,6,1
IN-1374255,Sai Sristi,No,No,6,1
IN-1981025,Ottur,No,No,3,1
IN-1055574,NNIGHOJRTT,No,No,8,4
IN-1372479,Sinhgad Institute,No,No,3,1
IN-1550362,New Marathi,No,No,6,1
IN-1730699,Kaij-3,No,No,4,1
IN-1024892,CANCONA INTERCONTINENTAL,No,No,17,6
IN-1055606,NSABALEBLDG_ODU,Yes,No,16,3
IN-1025273,KONDHVASASWADRD,No,No,10,8
IN-1054693,NDHVAZIRABAD_IDU,No,No,8,9
IN-1025113,GURUDWARAROAD,No,No,11,3
IN-1055626,Shirols_Odu,No,No,6,4
IN-1106074,Salegaon,Yes,No,18,9
IN-1490679,Rishi Game Zone,No,No,3,1
IN-1124564,ENPRSAKKARDARA,Yes,Yes,6,6
IN-1352416,Relocation of MG3454,No,No,3,1
IN-1124568,ENPRVENKTNGR,No,No,16,3
