Indus ID,SITE Name,TCU,MCU,Total Nos. GSM,Total Nos.M/w
IN-1254014,Peth Pimpalgaon,No,No,18,4
IN-1123791,KOCHARGAON,No,No,12,2
IN-1258371,Khumbargaon,No,No,3,2
IN-1263259,Khopoli,No,No,8,1
IN-1378206,Samta Nagar,No,No,4,1
IN-1390891,Kavde Nagar,No,No,3,1
IN-1350063,SINDHI_COLONY,No,No,3,1
IN-1382694,Agroya Nagar,No,No,3,1
IN-1302463,Bank Colony Latur city,No,No,13,5
IN-1349681,New Arvi naka,No,No,4,1
IN-1374925,Ganesh Nagar,No,No,6,1
IN-1091698,Pulgaon Camp Road,Yes,No,15,4
IN-1270457,Force Engeeniring,No,Yes*4,20,22
IN-1355110,Shivaji Nagar- Aurang,No,No,7,1
IN-1338352,Relocation Anand Nagar,No,No,6,1
IN-1055314,Vaibhav_Idu,Yes,No,12,11
IN-1498779,Wadwani,No,No,3,1
IN-1499066,Sambhaji Nagar,No,No,3,1
IN-1093311,MR.GANESH V. NINAVE PLOT ,No,No,19,7
IN-1093967,Washibe,No,No,26,6
IN-1099313,VADGAON BK,No,No,13,7
IN-1069981,ASTAPUR,No,No,3,2
IN-1071176,Baj_Odf,No,No,8,6
IN-1591742,Niwaga,No,No,3,1
IN-1255171,Ankhali,No,No,15,5
IN-1301573,Site958,No,No,7,3
IN-1091912,WADIBHOKAR RD,No,No,13,3
IN-1252261,chitod road,No,Yes,22,7
IN-1270706,Khamgaon_2,No,No,15,4
IN-1054767,SUYDOG_ODU,Yes,Yes,13,7
IN-1054406,VITHAINIWAS_IDU,No,No,6,8
IN-1311223,Market yard_Jalna,No,No,17,3
IN-1052265,NAVAMONDHA_ODU,No,Yes,13,9
IN-1263056,jalna_hospital,No,No,19,5
IN-1137773,SHIVAJI NAGAR,No,Yes,12,4
IN-1308619,Site757,No,No,9,2
IN-1055429,SHIVCMPLX_ODU,No,Yes,14,2
IN-1054618,ELTRALAMPURA_ODU,Yes,No,18,4
IN-1300184,Site1359_kanhan,No,No,9,3
IN-1053027,NSONAJGBT_ODU,No,No,3,6
IN-1054320,BARMATIMIDC_ODU,Yes,No,8,2
IN-1291361,Garvare Nagar,No,No,12,1
IN-1285712,HP Petrol Pump,No,No,6,2
IN-1296182,Katvi,No,No,3,3
IN-1251958,PAL,No,No,10,3
IN-1536175,Asgoli Guhagar ,No,No,3,1
IN-1323967,Relocation MA3022,No,Yes,4,1
IN-1093383,KAMALNAYAN N. GOKHRE. GOKHRE COMPLEX ,No,No,8,7
IN-1054408,DAVABAZAR_ODU,No,No,7,6
IN-1251095,AMBERWET,No,No,7,4
IN-1241482,Damodar nagar,No,No,12,4
IN-1070641,Dongrimine,No,No,13,3
IN-1066485,Otur,No,Yes,11,1
IN-1024093,GONDI,No,No,6,7
IN-1106087,SAWALADBARA,No,No,9,3
IN-1301603,Valpoi New,No,No,6,1
IN-1093261,Malwade,No,Yes,13,8
IN-1138682,SHANKARPUR,No,No,12,5
IN-1285270,Telangkhedi Hanuman Mandir Sq,Yes,No,9,4
IN-1290806,Wadi Naka,No,No,12,1
IN-1106022,Ambarwadi,No,No,9,4
IN-1286206,Pawar Sakhri,No,No,3,2
IN-1078439,KHIRWAD,No,No,9,2
IN-1092327,Vadgaon Kandali ,No,No,14,3
IN-1271677,Akole Kh,No,No,6,4
IN-1342200,Kranti Nagar,No,No,6,2
IN-1281511,FACE_USO,No  ,No,4,3
